id,name,water_usage_ton,water_boundary,intensity_water,intensity_water_unit,water_ISO
1323,永裕,138916.00 ,"永裕塑膠:72,770噸
上海永裕:62,546噸
威瑪精密:3,600噸",0.0400 ,"永裕塑膠72,770(噸)/1,816,611千元營業額=0.04",N
1324,地球,34088.98 ,母公司(幼一二廠),34.6785 ,百萬元營業額,N
1325,恆大,N/A,N/A,N/A,N/A,N
1326,台化,28188305.00 ,111年母公司、台化出光及台醋公司之台灣廠區,11140.0000 ,營業額億元,ISO 46001
1337,再生-KY,N/A,N/A,N/A,N/A,N
1338,廣華-KY,518590.00 ,僅重要子公司東莞廣澤汽車飾件有限公司,3.3470 ,建築面積,N
1339,昭輝,92162.00 ,母公司,N/A,N/A,N
1340,勝悅-KY,N/A,N/A,N/A,N/A,N
1341,富林-KY,140374.00 ,越南子公司,10.4883 ,產品,Higg dex (FEM)
1342,八貫,N/A,N/A,N/A,N/A,N
1402,遠東新,20915000.00 ,生產事業21個生產據點,3.0000 ,產品,ISO 46001
1409,新纖,1907000.00 ,中壢廠及觀音廠用水統計表,1.8104 ,產品,N
1410,南染,N/A,N/A,N/A,N/A,N
1413,宏洲,350900000.00 ,宏洲纖維工業股份有限公司桃園工廠,111570.0000 ,百萬元營業額,N
1414,東和,41832.00 ,本公司,184.0000 ,員工數,N
1416,廣豐,N/A,N/A,N/A,N/A,N
1417,嘉裕,N/A,N/A,N/A,N/A,N
1418,東華,384.00 ,111年水權用水紀錄,N/A,N/A,N
1419,新紡,67484.20 ,生產單位,0.0072 ,產品,N
1423,利華,1.55 ,母公司,0.0000 ,營業額,N
1432,大魯閣,N/A,N/A,N/A,N/A,N
1434,福懋,5888000.00 ,台灣廠區,224.8800 ,百萬元營業額,N
1435,中福,N/A,N/A,N/A,N/A,N
1436,華友聯,0.18 ,僅母公司,N/A,N/A,N
1437,勤益控,N/A,N/A,N/A,N/A,N
1438,三地開發,N/A,N/A,N/A,N/A,N
1439,雋揚,1003.77 ,母公司,N/A,N/A,N
1440,南紡,813880.00 ,母公司生產廠區,72.7497 ,百萬元營業額,N
1441,大東,N/A,N/A,N/A,N/A,N
1442,名軒,207.00 ,母公司,N/A,N/A,N
1443,立益物流,N/A,N/A,N/A,N/A,N
1444,力麗,506215.00 ,母公司各廠區,1.3593 ,產品,N
1445,大宇,N/A,N/A,N/A,N/A,N
1446,宏和,23549.00 ,母公司,0.1538 ,千元營業額,N
1447,力鵬,4715324.00 ,母公司各廠區,35.3000 ,產品,N
1449,佳和,1894520.00 ,母公司,363.0000 ,產品,N
1451,年興,2435899.00 ,包含合併財務報表之母子公司,0.2801 ,千元營業額,N
1452,宏益,54674.00 ,包含合併財務報表之母子公司,2.2890 ,每公噸產品,N
1453,大將,N/A,N/A,N/A,N/A,N
1454,台富,N/A,N/A,N/A,N/A,N
1455,集盛,545553.00 ,母公司之五個製造廠區。,3.1803 ,產品,N
1456,怡華,1895.00 ,台南官田廠,363.0000 ,服務,N
1457,宜進,1115.00 ,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,1.2240 ,百萬元營業額,N
1459,聯發,8254.00 ,工廠,0.4215 ,產品,N
1460,宏遠,2511532.00 ,母公司,182.1400 ,產品,N
1463,強盛,N/A,N/A,N/A,N/A,N
1464,得力,2964.00 ,水權狀+自來水,0.6803 ,百萬元營業額,N
1465,偉全,N/A,N/A,N/A,N/A,N
1466,聚隆,231531.00 ,母公司,83.1300 ,百萬元營業額,N
1467,南緯,4173.00 ,母公司,N/A,N/A,N
1468,昶和,14460.00 ,母公司,21.0700 ,百萬元營業額,N
1470,大統新創,937715.00 ,合併財務報表之母子公司之桃園廠區,172.0000 ,產量(公噸),N
1471,首利,N/A,N/A,N/A,N/A,N
1472,三洋實業,N/A,N/A,N/A,N/A,N
1473,台南,285958.00 ,包含合併財務報表之母子公司,0.0118 ,產品,N
1474,弘裕,957544.00 ,母公司,385.3300 ,百萬元營業額,N
1475,業旺,N/A,N/A,N/A,N/A,N
1476,儒鴻,2423526.00 ,包含合併財務報表之母子公司,0.0609 ,百萬元營業額,N
1477,聚陽,679295.00 ,"範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd",21.1700 ,百萬元營業額,ISAE3000
1503,士電,222100.00 ,揭露範疇涵蓋士電台灣營運地區，包含台北總部及四大事業群(重電事業群、電裝品事業群、機器事業群與自動化事業群)但揭露範疇不包含合併報表之子公司及海外據點。,0.0073 ,百萬元營業額,N
1504,東元,135107.00 ,台灣所有廠區,7.7900 ,百萬元營業額,N
1506,正道,13093.00 ,僅母公司,14.2000 ,百萬元營業額,N
1512,瑞利,21592.00 ,母公司,N/A,N/A,N
1513,中興電,21927.00 ,母公司111年度自來水,1.1822 ,百萬元營業額,N
1514,亞力,23763.00 ,母公司,3.3074 ,百萬元營業額,N
1515,力山,6857.00 ,僅母公司,1.5100 ,百萬元營業額,N
1516,川飛,N/A,N/A,N/A,N/A,N
1517,利奇,10103.00 ,彰化廠及南崗廠之自來水,2.6230 ,百萬元營業額,N
1519,華城,37884.00 ,僅母公司,5.2214 ,百萬元營業額,N
1521,大億,N/A,N/A,N/A,N/A,N
1522,堤維西,100.09 ,水費單,867.9700 ,億元營收,N
1524,耿鼎,71188.00 ,母公司,0.0385 ,產品,N
1525,江申,16408.00 ,僅母公司,10.9400 ,百萬元營業額,N
1526,日馳,12239.00 ,母公司,N/A,N/A,N
1527,鑽全,22930.00 ,全公司,22930.0000 ,千元營業額,N
1528,恩德,N/A,N/A,N/A,N/A,N
1529,樂事綠能,2112.00 ,年,N/A,N/A,N
1530,亞崴,N/A,N/A,N/A,N/A,N
1531,高林股,N/A,N/A,N/A,N/A,N
1532,勤美,107817.00 ,勤美股份有限公司金屬成型事業處,6.6373 ,產品,N
1533,車王電,21109.00 ,母子(孫)公司,21109.0000 ,千元營業額,N
1535,中宇,18901.00 ,包含合併財務報表之母子公司,2.1372 ,百萬元營業額,N
1536,和大,157279.00 ,僅母公司,21.4300 ,百萬元營業額,ISO 46001
1537,廣隆,374928.00 ,包含合併財務報表之母子公司,N/A,N/A,N
1538,正峰,N/A,N/A,N/A,N/A,N
1539,巨庭,N/A,N/A,N/A,N/A,N
1540,喬福,2.21 ,11101-11112,N/A,N/A,N
1541,錩泰,34950.00 ,僅母公司,0.0086 ,百萬元營業額,N
1558,伸興,297725.00 ,合併財務報表之母子公司,0.1179 ,產品,永續報告書
1560,中砂,1408751.00 ,母公司,233.7100 ,營業額,N
1568,倉佑,16845.00 ,僅母公司,12.4800 ,百萬營業額,N
1582,信錦,20281.00 ,母公司,N/A,N/A,N
1583,程泰,46.07 ,111/01-111/12,N/A,N/A,N
1587,吉茂,36958.00 ,111年,N/A,N/A,N
1589,永冠-KY,315200.00 ,合併財務報表之母子公司,33.5894 ,百萬元營業額,N
1590,亞德客-KY,900710.00 ,包含集團全部生產工廠及大陸地區全部銷售公司，已涵蓋集團95%以上之用水量,56.2700 ,每百萬元產值,N
1597,直得,35054.00 ,母公司,24.7000 ,百萬元營業額,ISO 14001
1598,岱宇,11088.00 ,彰化一廠、二廠、五廠及台中辦公室,4.0430 ,百萬元營業額,N
1603,華電,N/A,N/A,N/A,N/A,N
1604,聲寶,N/A,N/A,N/A,N/A,N
1605,華新,14026956.00 ,楊梅廠、新莊廠、鹽水廠、臺中廠。東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密,11.0100 ,產品,N
1608,華榮,73642.00 ,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,9.2912 ,百萬元營業額,N
1609,大亞,280.20 ,2022年,10.4752 ,百萬元營業額,N
1611,中電,3844.00 ,工廠,N/A,N/A,N
1612,宏泰,67770.00 ,僅母公司,10.6199 ,百萬元營業額,ISO14001
1614,三洋電,59796.00 ,母子公司,9.7340 ,百萬元營業額,N
1615,大山,258192.00 ,111年度,58.2400 ,百萬元營業額,N
1616,億泰,17417.00 ,母公司,0.0050 ,千元營業額,N
1617,榮星,N/A,N/A,N/A,N/A,N
1618,合機,18882.00 ,母公司(不含子公司),6.5929 ,百萬元營業額,ISO14001
1626,艾美特-KY,275602.00 ,營運地深圳艾美特+九江艾美特,275602.0000 ,百萬元營業額,N
1701,中化,229167.00 ,僅母公司,6.4030 ,千元營業額,N
1702,南僑,1597294.00 ,台灣、中國大陸、泰國地區之製造單位及餐飲事業,0.0803 ,千元營業額,N
1707,葡萄王,338110.00 ,葡萄王生技、葡眾企業,32.5000 ,百萬元營業額,ISO 14001
1708,東鹼,772170.00 ,僅母公司,96.2206 ,百萬元營業額,N
1709,和益,105050.00 ,僅母公司(工廠),12.8200 ,百萬元營業額,N
1710,東聯,1990891.00 ,母公司,155.9000 ,百萬元營業額,N
1711,永光,721500.00 ,永光化學一~四廠、新竹全通科技、蘇州永光,82.5100 ,百萬元產值,ISO 14001
1712,興農,800127.00 ,母公司王田廠區(王田廠、王田二廠、生物工廠),52.5400 ,植物保護佰萬元營收,N
1713,國化,73863.00 ,屏南分公司,0.1290 ,產品,N
1714,和桐,13705.00 ,高雄廠,0.3810 ,產品,N
1717,長興,1073670.00 ,母公司及包含合併財務報表之國內與國外子公司,0.3690 ,產品(公噸),ISO 50001及ISO14046:2014
1718,中纖,2156374.00 ,111年度總用水量,8.9984 ,總產品239638.7485公噸,N
1720,生達,150439.00 ,生達一廠+生達二廠,54.2700 ,百萬元營業額,N
1721,三晃,209587.00 ,母公司,9.1800 ,產品,確信準則公報第一號
1722,台肥,26010700.00 ,母公司 台中廠 花蓮廠 苗栗廠,31.5600 ,產品,N
1723,中碳,350000.00 ,母公司,33.5180 ,百萬元營業額,N
1725,元禎,2550.00 ,母公司,0.3410 ,百萬元營業額,N
1726,永記,64740.00 ,20220101~20221231,N/A,N/A,ISO14001
1727,中華化,377913.45 ,桃園一廠、桃園二廠、彰化廠,0.0020 ,百萬元營業額,N
1730,花仙子,12460.00 ,包含合併財務報表之母子公司,4.4740 ,百萬元營業額,N
1731,美吾華,48634.20 ,台北總公司、台中及高雄服務中心及楊梅工廠及物流中心,N/A,N/A,N
1732,毛寶,19243.00 ,母公司,32.7820 ,噸CO2e/百萬營收,N
1733,五鼎,49573.00 ,母子公司,0.0221 ,千元營收,N
1734,杏輝,188394.00 ,母公司,0.0750 ,仟元營業額,N
1735,日勝化,39764.00 ,母公司,2.1600 ,產品,N
1736,喬山,75.19 ,母公司,0.0022 ,個體營業收入（百萬元）,N
1737,臺鹽,173309.00 ,環境會計資料,173309.0000 ,百萬元營業額,N
1752,南光,101289.00 ,總公司+台北辦公室年度總用水量，含民生用水,5221.0825 ,用水量101289公噸 / 營業額19.4億 = 5221.0825,N
1760,寶齡富錦,47848.00 ,僅母公司,19.9449 ,NA,N
1762,中化生,83241.00 ,母公司,0.4000 ,產品,N
1773,勝一,375042.00 ,母公司,1.7447 ,產品,N
1776,展宇,2417.00 ,母公司(第1廠及第2廠),3.0829 ,營業額,N
1783,和康生,12792.00 ,母公司,N/A,N/A,N
1786,科妍,31585.00 ,母公司,N/A,N/A,N
1789,神隆,151662.00 ,僅母公司,49.4100 ,百萬元營業額,N
1795,美時,58122.00 ,母公司及重要子公司生產基地及研發中心,3.9700 ,百萬元營業額,N
1802,台玻,1880000.00 ,僅母公司,N/A,N/A,ISO 50001
1805,寶徠,N/A,N/A,N/A,N/A,N
1806,冠軍,163158.00 ,自來水,0.0163 ,產品,N
1808,潤隆,188.00 ,本公司台北辦公室,N/A,N/A,N
1809,中釉,8295.00 ,僅母公司,N/A,N/A,N
1810,和成,219513.00 ,母公司,58.1337 ,百萬元營業額,ISO14001
1817,凱撒衛,2060.00 ,台灣地區,0.7716 ,百萬元營業額,N
1903,士紙,N/A,N/A,N/A,N/A,N
1904,正隆,1015708.00 ,母公司,10.5300 ,千公升/噸 (工業用紙產量),N
1905,華紙,23381993.00 ,華紙台灣四個生產據點,19.6400 ,產品,N
1906,寶隆,N/A,N/A,N/A,N/A,N
1907,永豐餘,31285457.00 ,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣區合計13個生產據點。,13.3800 ,產品,ISO 14001
1909,榮成,4656780.00 ,全台灣廠區,87.9170 ,百萬元營業額,N
2002,中鋼,43076000.00 ,母公司,4.8600 ,產品,N
2006,東和鋼鐵,2108753.00 ,母公司,1.1030 ,公噸鋼胚產量,ISO14001
2007,燁興,126305.00 ,本公司,10.1300 ,百萬元營業額,N
2008,高興昌,33930.00 ,總公司(無子公司)含屏南廠,0.6804 ,產品,N
2009,第一銅,205990.00 ,僅計算第一伸銅科技股份有限公司臨海廠,2.4600 ,產品,N
2010,春源,87035.00 ,台灣總公司及北中南各生產營業據點,0.2020 ,產品,ISO 14001 環境管理系統
2012,春雨,211559.00 ,母公司,0.0386 ,千元營業額,ISO14001
2013,中鋼構,37741.00 ,僅母公司,N/A,N/A,N
2014,中鴻,1193022.00 ,母公司,0.4860 ,產品,N
2015,豐興,1797166.00 ,僅母公司,46.5500 ,百萬元營業額,ISO 14001:2015
2017,官田鋼,144421.00 ,母公司,53.0600 ,百萬元營業額,N
2020,美亞,16499.00 ,111年度,0.0026 ,營業額單位：千元營業額,ISO14001
2022,聚亨,38727.00 ,母公司,0.5700 ,產品,N
2023,燁輝,334640.00 ,燁輝企業股份有限公司(僅母公司),9.9760 ,百萬元營業額,確信準則 3000號
2024,志聯,218382.00 ,自來水+地下水,186.8100 ,百萬元營業額,N
2025,千興,30858.00 ,僅母公司,0.0251 ,千元營業額,N
2027,大成鋼,109800.00 ,僅母公司,0.0075 ,營業額(百萬公升/百萬元),N
2028,威致,644630.00 ,個別公司,N/A,N/A,N
2029,盛餘,416130.00 ,2022年績效月報,0.4183 ,產品,N
2030,彰源,121713.00 ,一廠、二廠、三廠、大連廠、元山廠、元富廠、員製課、南營部、北營部,0.8443 ,生產量,ISO 14001
2031,新光鋼,22.00 ,母公司,0.0015 ,百萬元營業額,N
2032,新鋼,N/A,N/A,N/A,N/A,N
2033,佳大,33132.30 ,母公司,40.8637 ,百萬元營業額,N
2034,允強,120492.00 ,僅母公司,0.9900 ,產品,N
2038,海光,97145.00 ,工業水使用,8.8000 ,百萬元營業額,N
2049,上銀,673357.00 ,100%營運控制權，包含上銀科技股份有限公司(營運總部、台中廠區、雲林廠區及嘉義廠區),30.2000 ,百萬元營業額,ISO 46001:2019及ISO 14046:2014
2059,川湖,53857.00 ,母公司,0.0162 ,平方公尺產品表面積,N
2062,橋椿,122570.00 ,母公司,37.4800 ,產品,GRI準則
2069,運錩,9657.00 ,僅母公司所有廠區,N/A,N/A,N
2101,南港,89216.00 ,2022年總用水量,2.8981 ,產品,N
2102,泰豐,125045.00 ,僅母公司,9.4200 ,每噸產品,N
2103,台橡,5550000.00 ,合併財務報表之母子公司,10.2800 ,產品,中華民國會計研究發展基金會所發佈確信準則公報3000號進行SASB指標之有限確信
2104,國際中橡,1387189.00 ,國際中橡100%持有之子公司林園先進。,16.2000 ,產品,N
2105,正新,754751.00 ,母公司,6.0200 ,產品,N
2106,建大,300857.00 ,台灣地區,7.7906 ,百萬元營業額,ISO 50001
2107,厚生,30036.00 ,厚生 桃園廠,15.5050 ,百萬元營業額,N
2108,南帝,479040.00 ,僅母公司,3554.5000 ,產量千噸,N
2109,華豐,369828.00 ,人工抄錶流量計,68.3100 ,百萬元營業額,N
2114,鑫永銓,13859.00 ,母公司,7.5077 ,百萬元營業額,N
2115,六暉-KY,N/A,N/A,N/A,N/A,N
2201,裕隆,285798.91 ,裕隆汽車製造(股)公司三義廠區,12.7532 ,百萬營業額,N
2204,中華,206996.00 ,占營運範圍比率100%,4.0550 ,產品,ISO 46001
2206,三陽工業,435853.00 ,母公司(新竹廠),12.1465 ,百萬元營業額,N
2207,和泰車,16499.00 ,母公司,29.3000 ,人數,N
2208,台船,520958.00 ,台船高雄廠和基隆廠彙計,520958.0000 ,"24,790,337千元產值",N
2211,長榮鋼,58760.00 ,僅母公司(長榮鋼鐵),5.1367 ,百萬元營業額,N
2227,裕日車,1500.00 ,母公司,4.0872 ,每年人均用水量 (公噸-水 /人),N
2228,劍麟,20754.00 ,僅母公司,12.6858 ,百萬元營業額,N
2231,為升,23135.00 ,2022年01~12月,N/A,N/A,N
2233,宇隆,14834.00 ,僅母公司,N/A,N/A,N
2236,百達-KY,N/A,N/A,N/A,N/A,N
2239,英利-KY,N/A,N/A,N/A,N/A,N
2241,艾姆勒,79374.00 ,母公司,0.0785 ,產品,N
2243,宏旭-KY,N/A,N/A,N/A,N/A,N
2247,汎德永業,83391.43 ,合併財報之母子公司,1.8900 ,百萬元營業額,N
2250,IKKA-KY,N/A,N/A,N/A,N/A,N
2301,光寶科,2121945.00 ,"包含母公司與合併財報之部分子公司
光寶科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、光寶電源科技(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、光寶智能汽車(廣州)有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED",14.2600 ,百萬元營業額,ISO 14001
2302,麗正,24270.00 ,母子公司,77.7885 ,產品,N
2303,聯電,17409833.00 ,母公司(含新加坡分公司),70.0800 ,wafer-m2,ISO 14001、ISO 14046
2305,全友,4000.00 ,母公司,32.0000 ,百萬元營業額,N
2308,台達電,4310.30 ,全球據點,392.0000 ,產值(單位：百萬美金),ISO14001
2312,金寶,2081290.00 ,合併財務報表之母子公司,11.4700 ,百萬元營業額,N
2313,華通,3480.80 ,111年度,0.3000 ,百萬元營業額,N
2314,台揚,39462.00 ,111年2月至112年1月,8.8000 ,百萬元營業額,N
2316,楠梓電,1402029.00 ,僅母公司,0.8100 ,產品,N
2317,鴻海,91470723.00 ,包含合併財務報表母子公司,13.8000 ,百萬元營業額,ISO 14001
2321,東訊,21236.00 ,自來水公司提供 111.01~111.12,174.0600 ,僅民生用水，無製程用水,N
2323,中環,485000.00 ,僅母公司生產廠區,0.7900 ,員工人數,N
2324,仁寶,2499769.00 ,母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京）、重慶翊寶智慧電子裝置及Compalead Eletr&#244;nica do Brasil Ind&#250;stria e Com&#233;rcio,2.3300 ,百萬元營業額,AA1000
2327,國巨,303028.00 ,母公司,75.0000 ,百萬營業額,N
2328,廣宇,1698.00 ,母公司,0.1400 ,百萬元營業額,N
2329,華泰,1157376.00 ,2022.01.01-2022.12.31,74.4581 ,百萬元營業額,ISO 46001
2330,台積電,104681272.00 ,台灣廠區及部分子公司,137.3000 ,公升/十二吋晶圓當量－光罩數,International Water Stewardship Standard Version 2.0
2331,精英,11628.00 ,用水量涵蓋精英電腦台灣總部大樓,16.2170 ,2022年精英電腦總部大樓人均年用水量  16.217 公噸/  人.年,N
2332,友訊,10990.00 ,僅母公司大樓,22.6000 ,員工人數,N
2337,旺宏,2836000.00 ,旺宏總部、晶圓二廠、晶圓五廠、測試廠,65.0000 ,百萬元營業額,N
2338,光罩,176692.00 ,僅母公司,N/A,N/A,N
2340,台亞,1303.46 ,創新廠及力行廠,287.7500 ,百萬元營業額,ISO 46001
2342,茂矽,671256.00 ,僅母公司,62.3150 ,產品,N
2344,華邦電,4131340.00 ,母公司,0.1340 ,噸/layer(層-晶圓光罩),ISO14001
2345,智邦,58132.00 ,母公司。,0.7530 ,百萬元營業額,N
2347,聯強,21886.00 ,僅母公司,18.8200 ,人均用水量(公噸),N
2348,海悅,N/A,N/A,N/A,N/A,N
2349,錸德,113512.81 ,僅母公司,0.0416 ,營業額單位:千元,N
2351,順德,1444382.00 ,母公司,0.1580 ,千元營業額,N
2352,佳世達,441269.65 ,佳世達台灣/蘇州/越南廠區,105.5564 ,百萬元營業額,ISO 14001
2353,宏碁,162655.00 ,包含合併財務報表之母子公司,0.5906 ,百萬元營業額,N
2354,鴻準,1505346.00 ,鴻準集團主要廠區,16.6400 ,百萬元營業額,Alliance for Water Stewardship(AWS) Version 2.0
2355,敬鵬,3730.30 ,母公司+ 子公司 敬鵬(常熟)電子有限公司,241.1800 ,百萬元營業額,N
2356,英業達,1052902.00 ,"英業達股份有限公司Inventec Corporation
(士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(TRDC/ITO)、
英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC)、
英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT)、
上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT)、
Inventec (Czech) S.R.O. (ICZ)、
IEC Technologies, S . de R. L. de C. V. (IMX)",232755.0000 ,公噸/千億營業額,N
2357,華碩,170677.00 ,華碩全台辦公室(皇家除外),23.8000 ,公噸/平均每人/年,ISO 46001
2358,廷鑫,19277.00 ,母公司,N/A,N/A,N
2359,所羅門,7816.00 ,所羅門辦公大樓,N/A,N/A,N
2360,致茂,67151.90 ,母公司及台灣地區分公司,0.0028 ,千元營業額,N
2362,藍天,39440.00 ,台北總部辦公室、主要製造廠：昆山廠,0.0021 ,百萬元營業額,N
2363,矽統,21457.00 ,水費繳費單,N/A,N/A,N
2364,倫飛,6367.00 ,母公司,0.0068 ,千元營業額,N
2365,昆盈,29654.00 ,台北總公司及東莞廠,N/A,N/A,N
2367,燿華,2274240.00 ,僅母公司,0.5300 ,產品,N
2368,金像電,7674670.00 ,合併財務報表之母子公司,234.0000 ,百萬元營業額,N
2369,菱生,858021.00 ,全公司工業用水量,0.2314 ,產品,N
2371,大同,530493.00 ,僅母公司,530493.0000 ,"16,792,440千元營業額",N
2373,震旦行,35203.24 ,僅母公司,0.0106 ,千元營業額,N
2374,佳能,5607.00 ,111年度,1.0607 ,百萬元營業額,N
2375,凱美,2525.25 ,子公司,N/A,N/A,N
2376,技嘉,252964.00 ,技嘉營運總部、桃園南平廠、中國東莞及寧波廠，2022年營運總部範疇新增B棟4樓,2.3583 ,百萬元營業額,N
2377,微星,877089.00 ,台灣及大陸廠區,4.8600 ,百萬元營業額,N
2379,瑞昱,42871.41 ,僅包含瑞昱台灣母公司營運總部,9.0100 ,"瑞昱員工人數(4,758人)",N
2380,虹光,11330.00 ,母公司,6.6657 ,百萬元營業額,N
2382,廣達,2976061.00 ,廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB,N/A,N/A,N
2383,台光電,592489.00 ,合併財務報表之母子公司(不含美國子公司),0.0156 ,千元營業額,N
2385,群光,221193.53 ,群光電子(含海外各廠區，不含子公司),3.0669 ,百萬元營業額,N
2387,精元,N/A,N/A,N/A,N/A,N
