id,name,harmful_trash_ton,harmful_trash_boundary,harmless_trash_ton,harmless_trash_boundary,trash_ton,trash_boundary,intensity_trash,intensity_trash_unit,trash_ISO
1323,永裕,0,"永裕塑膠:96.65噸
上海永裕:129.84噸
威瑪精密:2.65噸",229.14,"永裕塑膠:96.65噸
上海永裕:129.84噸
威瑪精密:2.65噸",229.14,"永裕塑膠:96.65噸
上海永裕:129.84噸
威瑪精密:2.65噸",0,"母公司永裕塑膠96.65噸/1,816,611千元營業額=0.00005",N
1324,地球,86.09,母公司(幼一二廠),69.62,母公司(幼一二廠),155.71,母公司(幼一二廠),0.16,百萬元營業額,ISO 14001
1325,恆大,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1326,台化,73,111年母公司及台醋公司之台灣廠區,223242,111年母公司及台醋公司之台灣廠區,223315,111年母公司及台醋公司之台灣廠區,90.28,營業額億元,ISO 14001
1337,再生-KY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1338,廣華-KY,355.92,僅重要子公司東莞廣澤汽車飾件有限公司,1035.72,僅重要子公司東莞廣澤汽車飾件有限公司,1391.64,僅重要子公司東莞廣澤汽車飾件有限公司,0.01,建築面積,N
1339,昭輝,155.31,母公司,18.42,母公司,173.73,母公司,N/A,N/A,N
1340,勝悅-KY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1341,富林-KY,580.22,越南子公司,6696.25,越南子公司,7276.47,越南子公司,0.52,產品,ISO 14001
1342,八貫,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1402,遠東新,12138,生產事業21個生產據點,178072,生產事業21個生產據點,190210,生產事業21個生產據點,0.03,產品,ISO 14001
1409,新纖,N/A,新光合纖中壢廠,N/A,新光合纖中壢廠,5935.11,新光合纖中壢廠,N/A,N/A,N
1410,南染,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1413,宏洲,155.08,宏洲纖維工業股份有限公司桃園工廠,48.61,宏洲纖維工業股份有限公司桃園工廠,203.69,宏洲纖維工業股份有限公司桃園工廠,0.06,百萬元營業額,N
1414,東和,0,本公司,800.57,本公司,800.57,本公司,N/A,N/A,N
1416,廣豐,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1417,嘉裕,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1418,東華,252.76,111年委託清除處理量(非經常性產出之事業廢棄物),122.82,111年委託清除處理量(非經常性產出之事業廢棄物),375.58,111年委託清除處理量(非經常性產出之事業廢棄物),N/A,N/A,N
1419,新紡,0,生產單位,106.94,生產單位,106.94,生產單位,0,產品,N
1423,利華,0,母公司,2.02,母公司,2.02,母公司,0,營業額,N
1432,大魯閣,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1434,福懋,2508.41,台灣廠區,17143.58,台灣廠區,19651.99,台灣廠區,0.75,百萬元營業額,N
1435,中福,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1436,華友聯,N/A,僅母公司,N/A,僅母公司,2935,僅母公司,N/A,N/A,N
1437,勤益控,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1438,三地開發,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1439,雋揚,N/A,母公司,N/A,母公司,2.51,母公司,N/A,N/A,N
1440,南紡,47.52,母公司生產廠區,456.24,母公司生產廠區,503.76,母公司生產廠區,0.05,百萬元營業額,ISO 14001
1441,大東,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1442,名軒,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1443,立益物流,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1444,力麗,0,母公司各廠區,3082,母公司各廠區,3082,母公司各廠區,N/A,N/A,ISO 14001
1445,大宇,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1446,宏和,0,母公司,8.58,母公司,8.58,母公司,0,千元營業額,N
1447,力鵬,203,廠區,8565,廠區,8768,廠區,N/A,N/A,ISO 14001
1449,佳和,0,母公司,380.7,母公司,380.7,母公司,0.15,產品,N
1451,年興,7051,包含合併財務報表之母子公司,7250,包含合併財務報表之母子公司,14301,包含合併財務報表之母子公司,0,千元營業額,N
1452,宏益,0,包含合併財務報表之母子公司,10.81,包含合併財務報表之母子公司,10.81,包含合併財務報表之母子公司,0,每公噸產品,N
1453,大將,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1454,台富,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1455,集盛,0,母公司之五個製造廠區。,1494.3,母公司之五個製造廠區。,1494.3,母公司之五個製造廠區。,0.01,產品,N
1456,怡華,0,台南官田廠,132,台南官田廠,132,台南官田廠,0.01,服務,N
1457,宜進,N/A,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,N/A,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,2.78,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,0,百萬元營業額,N
1459,聯發,0,工廠,64.75,工廠,64.75,工廠,0,產品,N
1460,宏遠,0,母公司,10030.59,母公司,10030.59,母公司,N/A,N/A,N
1463,強盛,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1464,得力,0,僅母公司,3811.42,僅母公司,3811.42,僅母公司,0.87,百萬元營業額,ISO 14001
1465,偉全,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1466,聚隆,0,母公司,250,母公司,250,母公司,0.01,百萬元營業額,N
1467,南緯,0.03,母公司,25.73,母公司,25.76,母公司,N/A,N/A,N
1468,昶和,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1470,大統新創,0,合併財務報表之母子公司之桃園廠區,1281,合併財務報表之母子公司之桃園廠區,1281,合併財務報表之母子公司之桃園廠區,0.24,產量(公噸),N
1471,首利,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1472,三洋實業,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1473,台南,685.53,包含合併財務報表之母子公司,1149.15,包含合併財務報表之母子公司,1834.68,包含合併財務報表之母子公司,0,產品,N
1474,弘裕,0,母公司,732,母公司,732,母公司,0.29,百萬元營業額,N
1475,業旺,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1476,儒鴻,N/A,包含合併財務報表之母子公司,N/A,包含合併財務報表之母子公司,12181.08,包含合併財務報表之母子公司,0,百萬元營業額,N
1477,聚陽,78,"範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd",2862,"範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd",2940,"範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd",0.09,百萬元營業額,ISAE3000
1503,士電,2,揭露範疇涵蓋士電台灣營運地區，包含台北總部及四大事業群(重電事業群、電裝品事業群、機器事業群與自動化事業群)但揭露範疇不包含合併報表之子公司及海外據點。,986.84,揭露範疇涵蓋士電台灣營運地區，包含台北總部及四大事業群(重電事業群、電裝品事業群、機器事業群與自動化事業群)但揭露範疇不包含合併報表之子公司及海外據點。,988.84,揭露範疇涵蓋士電台灣營運地區，包含台北總部及四大事業群(重電事業群、電裝品事業群、機器事業群與自動化事業群)但揭露範疇不包含合併報表之子公司及海外據點。,N/A,N/A,N
1504,東元,0,台灣所有廠區,1981.26,台灣所有廠區,1981.26,台灣所有廠區,11.5,百萬元營業額,ISO 14001
1506,正道,2.23,僅母公司,839.83,僅母公司,842.06,僅母公司,0.91,百萬元營業額,N
1512,瑞利,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1513,中興電,N/A,母公司111年度,N/A,母公司111年度,416.84,母公司111年度,0.02,百萬元營業額,N
1514,亞力,0,母公司,115.76,母公司,115.76,母公司,N/A,N/A,N
1515,力山,19.14,僅母公司,40.36,僅母公司,59.5,僅母公司,0.01,百萬元營業額,N
1516,川飛,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1517,利奇,0,廢紙、廢木材棧板、廢塑膠、廢鐵、廢潤滑油、廢無機性污泥、廢橡膠或其混合物,592.88,廢紙、廢木材棧板、廢塑膠、廢鐵、廢潤滑油、廢無機性污泥、廢橡膠或其混合物,592.88,廢紙、廢木材棧板、廢塑膠、廢鐵、廢潤滑油、廢無機性污泥、廢橡膠或其混合物,0.15,百萬元營業額,N
1519,華城,N/A,僅母公司,N/A,僅母公司,1046.46,僅母公司,0.14,百萬元營業額,ISO 14001
1521,大億,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1522,堤維西,0,111年廢棄物聯單系統,620.15,111年廢棄物聯單系統,620.15,111年廢棄物聯單系統,5.38,億元營收,ISO 14001
1524,耿鼎,0,母公司,219.99,母公司,219.99,母公司,0.01,產品,N
1525,江申,0,僅母公司,188.35,僅母公司,188.35,僅母公司,0.13,百萬元營業額,N
1526,日馳,N/A,母公司,N/A,母公司,67.34,母公司,N/A,N/A,N
1527,鑽全,0,全公司,40.63,全公司,40.63,全公司,40.63,千元營業額,ISO 14001
1528,恩德,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1529,樂事綠能,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1530,亞崴,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1531,高林股,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1532,勤美,4.29,勤美股份有限公司金屬成型事業處,5549.48,勤美股份有限公司金屬成型事業處,5553.77,勤美股份有限公司金屬成型事業處,0.34,產品,ISO 14001：2015
1533,車王電,1.39,母子(孫)公司,118.51,母子(孫)公司,119.9,母子(孫)公司,119.9,千元營業額,ISO 14001
1535,中宇,0,包含合併財務報表之母子公司,12.05,包含合併財務報表之母子公司,12.05,包含合併財務報表之母子公司,0.01,千萬元營業額,N
1536,和大,N/A,僅母公司,N/A,僅母公司,554.87,僅母公司,0.08,百萬元營業額,ISO 14001
1537,廣隆,2491,含合併財務報表之母子公司,1089,含合併財務報表之母子公司,3580,含合併財務報表之母子公司,N/A,N/A,N
1538,正峰,0,母公司,15.1,母公司,15.1,母公司,N/A,N/A,N
1539,巨庭,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1540,喬福,N/A,母公司,N/A,母公司,0,母公司,N/A,N/A,N
1541,錩泰,5,僅母公司,93,僅母公司,98,僅母公司,0.02,百萬元營業額,N
1558,伸興,N/A,合併財務報表之母子公司,N/A,合併財務報表之母子公司,920,合併財務報表之母子公司,0,產品,ISO 14001
1560,中砂,21.4,母公司,1540.46,母公司,1561.86,母公司,0.26,營業額,ISO 14001
1568,倉佑,6.65,僅母公司,580.31,僅母公司,586.96,僅母公司,0.44,百萬營業額,ISO 14001
1582,信錦,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1583,程泰,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1587,吉茂,7735,111年,46900,111年,54635,111年,N/A,N/A,N
1589,永冠-KY,37184.41,合併財務報表之母子公司,403.09,合併財務報表之母子公司,37587.5,合併財務報表之母子公司,4.01,百萬元營業額,ISO 14001
1590,亞德客-KY,4866.19,包含集團全部生產工廠，已涵蓋集團95%以上之廢棄物量,14843.17,包含集團全部生產工廠，已涵蓋集團95%以上之廢棄物量,19709.36,包含集團全部生產工廠，已涵蓋集團95%以上之廢棄物量,1.23,每百萬元產值,N
1597,直得,0,母公司,334.53,母公司,334.53,母公司,0.24,百萬元營業額,ISO 14001
1598,岱宇,N/A,彰化一廠、二廠及五廠,N/A,彰化一廠、二廠及五廠,57.02,彰化一廠、二廠及五廠,0.02,百萬元營業額,N
1603,華電,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1604,聲寶,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1605,華新,N/A,楊梅廠、新莊廠、鹽水廠、臺中廠。東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密,N/A,楊梅廠、新莊廠、鹽水廠、臺中廠。東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密,234352.88,楊梅廠、新莊廠、鹽水廠、臺中廠。東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密,0.18,產品,ISO 14001
1608,華榮,13.9,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,479.49,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,493.39,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,0.06,百萬元營業額,ISO 14001
1609,大亞,343,大亞集團,2472,大亞集團,2815,大亞集團,0.11,百萬元營業額,N
1611,中電,3.6,工廠,21.11,工廠,24.71,工廠,N/A,N/A,ISO 14001
1612,宏泰,131.67,僅母公司,257.23,僅母公司,388.9,僅母公司,0.06,百萬元營業額,ISO 14001
1614,三洋電,N/A,母子公司,N/A,母子公司,72,母子公司,0.01,百萬元營業額,N
1615,大山,0,111年度,102.94,111年度,102.94,111年度,0.03,百萬元營業額,N
1616,億泰,0,母公司,141,母公司,141,母公司,0,千元營業額,N
1617,榮星,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1618,合機,0,母公司(不含子公司),490.01,母公司(不含子公司),490.01,母公司(不含子公司),0.17,百萬元營業額,ISO 14001
1626,艾美特-KY,114.67,營運地深圳艾美特+九江艾美特,21,營運地深圳艾美特+九江艾美特,135.67,營運地深圳艾美特+九江艾美特,135.67,百萬元營業額,N
1701,中化,17.26,僅母公司,396.29,僅母公司,413.55,僅母公司,1.16,千元營業額,N
1702,南僑,35,台灣、中國大陸、泰國地區之製造單位及餐飲事業,14104,台灣、中國大陸、泰國地區之製造單位及餐飲事業,14139,台灣、中國大陸、泰國地區之製造單位及餐飲事業,0.69,百萬元營業額,N
1707,葡萄王,10.81,葡萄王生技,2815.1,葡萄王生技,2825.91,葡萄王生技,0.27,百萬元營業額,ISO 14001
1708,東鹼,0,僅母公司,874.62,僅母公司,874.62,僅母公司,5,公噸/每人/年,ISO 14001
1709,和益,0.06,僅母公司(工廠),178.02,僅母公司(工廠),178.08,僅母公司(工廠),0.02,百萬元營業額,N
1710,東聯,0.03,母公司,640.6,母公司,640.63,母公司,0.05,百萬元營業額,ISO 14001
1711,永光,1693.4,永光化學一~四廠、新竹全通科技、蘇州永光,8804,永光化學一~四廠、新竹全通科技、蘇州永光,10497.4,永光化學一~四廠、新竹全通科技、蘇州永光,1.2,百萬元產值,ISO 14001
1712,興農,0,母公司王田廠區(王田廠、王田二廠、生物工廠),1947.83,母公司王田廠區(王田廠、王田二廠、生物工廠),1947.83,母公司王田廠區(王田廠、王田二廠、生物工廠),0.13,植物保護佰萬元營收,ISO 14001
1713,國化,N/A,屏南分公司,N/A,屏南分公司,188.8,屏南分公司,0,產品,N
1714,和桐,0,高雄廠,133.62,高雄廠,133.62,高雄廠,0,產品,"ISO 9001, ISO 14001及ISO 45001"
1717,長興,46661,母公司及包含合併財務報表之國內與國外子公司,7598,母公司及包含合併財務報表之國內與國外子公司,54259,母公司及包含合併財務報表之國內與國外子公司,0.08,產品,N
1718,中纖,0,111年度申報量,21486.1,111年度申報量,21486.1,111年度申報量,4.08,營業額5264762仟元,N
1720,生達,574.58,生達一廠+生達二廠,202.22,生達一廠+生達二廠,776.8,生達一廠+生達二廠,28.02,百萬元營業額,N
1721,三晃,129.49,母公司,1741.58,母公司,1871.07,母公司,0.08,產品,確信準則公報第一號
1722,台肥,301.73,母公司 台中廠 花蓮廠 苗栗廠,710.35,母公司 台中廠 花蓮廠 苗栗廠,1012.08,母公司 台中廠 花蓮廠 苗栗廠,0.12,產品,N
1723,中碳,18.24,母公司,194.08,母公司,212.32,母公司,0.02,百萬元營業額,ISO 14001
1725,元禎,N/A,母公司,N/A,母公司,21.57,母公司,0,百萬元營業額,N
1726,永記,672.85,20220101~20221231,1590.97,20220101~20221231,2263.82,20220101~20221231,N/A,N/A,ISO9001及ISO14001
1727,中華化,189.73,桃園一廠、桃園二廠,1451.55,桃園一廠、桃園二廠,1641.28,桃園一廠、桃園二廠,0.01,產品,N
1730,花仙子,0.23,包含合併財務報表之母子公司,78.94,包含合併財務報表之母子公司,79.17,包含合併財務報表之母子公司,0.03,百萬元營業額,N
1731,美吾華,0,台北總公司、台中及高雄服務中心及楊梅工廠及物流中心,12.12,台北總公司、台中及高雄服務中心及楊梅工廠及物流中心,12.12,台北總公司、台中及高雄服務中心及楊梅工廠及物流中心,N/A,N/A,N
1732,毛寶,0,母公司,521.27,母公司,521.27,母公司,0.89,噸CO2e/百萬營收,N
1733,五鼎,2.61,母子公司,220.6,母子公司,223.21,母子公司,0,千元營收,N
1734,杏輝,12.99,母公司,204.52,母公司,217.51,母公司,0,仟元營業額,ISO 14001
1735,日勝化,10.12,母公司(未包含再利用廢棄物101.497公噸),498.65,母公司(未包含再利用廢棄物101.497公噸),508.77,母公司(未包含再利用廢棄物101.497公噸),0.03,產品,N
1736,喬山,0,母公司,27.37,母公司,27.37,母公司,0,個體營業收入（百萬元）,ISO 14001
1737,臺鹽,0,環境會計資料,305.86,環境會計資料,305.86,環境會計資料,305.86,百萬元營業額,N
1752,南光,12.2,總公司,214.76,總公司,226.96,總公司,11.7,廢棄物有害12.2+非有害214.763公噸  / 營業額19.4億 = 11.6991,N
1760,寶齡富錦,N/A,僅母公司,N/A,僅母公司,359.36,僅母公司,0.15,NA,N
1762,中化生,1549,母公司,525,母公司,2074,母公司,0.01,產品,N
1773,勝一,0,母公司,829.79,母公司,829.79,母公司,0,產品,ISO 14001
1776,展宇,86.69,母公司(第1廠及第2廠),492.96,母公司(第1廠及第2廠),579.65,母公司(第1廠及第2廠),0.74,營業額,N
1783,和康生,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1786,科妍,0.05,母公司,41,母公司,41.05,母公司,N/A,N/A,N
1789,神隆,1891,僅母公司,306,僅母公司,2197,僅母公司,0.72,百萬元營業額,N
1795,美時,128.4,母公司及重要子公司生產基地及研發中心,210.9,母公司及重要子公司生產基地及研發中心,339.3,母公司及重要子公司生產基地及研發中心,0.23,千萬元營業額,N
1802,台玻,N/A,111年度 ESG報告書,N/A,111年度 ESG報告書,22340.76,111年度 ESG報告書,N/A,N/A,ISO 14001
1805,寶徠,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
1806,冠軍,0,工廠,17633.87,工廠,17633.87,工廠,0,產品,ISO 14001
1808,潤隆,0,本公司基隆德安A、B、C區建案,18460.03,本公司基隆德安A、B、C區建案,18460.03,本公司基隆德安A、B、C區建案,N/A,N/A,N
1809,中釉,16.22,僅母公司,132.18,僅母公司,148.4,僅母公司,148.4,產品,N
1810,和成,9.7,母公司,3661,母公司,3670.7,母公司,0.97,百萬元營業額,ISO 14001
1817,凱撒衛,N/A,台灣地區,N/A,台灣地區,82.08,台灣地區,0.03,百萬元營業額,N
1903,士紙,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N
